user_id,cluster
0009a79d-1d76-412e-854e-0cb636eb6687,8
0012bd9c-afde-4948-8372-a734d1d1bbdf,15
0024c0d3-68b5-4284-b8ac-c8804383d15a,3
003ee291-33f7-46b6-baf2-b898002cf97c,6
005a687d-33ac-4624-8c82-b30064441da0,18
0066ec62-63da-4c50-a90d-bf0ffd9d71c0,4
006da8ea-6784-4501-9910-a53caf922b96,4
009b6f0c-4e4f-4878-83ab-a5a86fde247a,13
00a5c01a-5053-4175-b4fe-9067d8e4fec2,8
00a6e073-3a7a-4c04-9f96-abfcb3e56bf7,10
00a985bf-baaf-4058-9569-56dcd63bfd86,4
00b283cf-4ca7-4d75-8596-33fa01397afc,3
00b34b08-69e8-4edf-a245-70996f8b0716,16
00cf1c2a-1a73-4c92-8ec0-a37e5b009cf0,12
00e95480-3cf3-4193-8fa2-2e9673931753,2
00eb15b4-2d2f-4e87-bdfd-a620079f9698,23
00f9c031-4587-4695-8bf6-635f8254ee2e,24
0101fb0b-6273-4e10-8251-cb3c41e7144e,2
0115a6bf-50fe-4877-928d-40015441e75f,16
0116c902-d428-4f9d-a3cc-23ada5534d5f,7
011bc9f4-c54e-4231-b4a3-87d4aed262aa,5
012a43f9-5da6-4db0-966b-3e5701d69a26,7
0133e752-568d-4401-b451-1e9b56553349,1
013442c0-3a70-4257-ad39-5c7005c199bf,15
013da01b-774b-48c7-b767-50222ae6aeca,2
013eeb55-1998-43e5-ba3b-8863e3a574da,11
0162f2f8-ddd3-417f-8d95-be417af26025,21
01645a19-171c-4407-b083-9fbd154e711a,9
019f3021-9d30-4e1b-b90d-59e23fdc5611,3
01a3b377-ef1d-4cfb-8f9c-89cf655481b4,21
01ad4207-2941-466a-8e2d-38d17982dd5a,7
01ba7985-6fef-4c72-8840-b1ba0fb2ae20,16
01ca4082-791e-41b1-8e5a-f079d72e65b7,16
01e1ede6-60f0-4710-a512-093e6e4609cc,20
01e7ac6c-1e56-4cba-8694-c8ac4e2b5e45,2
01f276ad-c844-45f5-a54a-619558e92513,12
01f57d09-429d-437b-ab61-b0c5ada37bbe,5
01f70e79-6570-45b6-89e8-656f2a1a3b6b,16
01ff6c7b-a368-4c44-9c6c-dfa57686cafc,17
0200bd54-d58f-4028-9ed0-60ff50d5f2bf,1
0202a135-6016-4fef-b117-4ac5fbe182fc,14
020422bd-c789-4a43-97ac-0cff921be2f3,2
0210bb4c-8fbc-4b0a-bc16-93e904c046b1,6
022079bc-0d95-4288-95c5-0cf46d6df91e,7
0224bd29-8872-41c9-a651-979fc7d2f2e9,21
022b016b-d2a2-4b60-9e2b-239415461168,23
023092ad-b2b8-4f05-8bc8-de33e10ac0cd,2
0237727e-2e5a-46cc-8464-be32139668fe,4
0239d301-5641-4973-a60c-eecd6e79b874,23
0241ce8c-9176-4390-8ea3-65820f6def55,3
024c4bc3-07d0-4031-945d-59aa28c904c2,16
02945df7-1a29-4e95-8444-0e3e21bf0dcc,23
02a201ba-9821-4c56-8c73-d86f749503dd,8
02adcfda-2b0a-4c05-a21f-9099744a5ad8,17
02b6dfcf-a2c0-4551-929b-8208a0b68eb0,2
02bbc8e3-06fb-4dcc-861f-ce37f61774de,24
02cd49fd-b746-4628-b55f-bda01163c859,5
02d5ea62-4249-49ef-b15b-12f2ad9da887,16
02f3ee65-3b43-42c7-a244-cd5e2b4a352f,7
02fbbb07-4f61-48db-8e67-ba906f71f7fa,8
0301e0a0-4a45-4db7-b7d6-5a9ba8351f6d,8
030a7b09-58e7-43cf-b3a8-5ff5fa6588df,8
031aaef5-b6eb-44a5-aa12-4972d899bf96,12
03208561-0ee1-404b-9e62-549c554e5329,8
03280a2e-781d-4cd2-8c65-27d52017bb60,7
0328932a-f612-4586-9f70-d1f1e5da2e98,13
0331e959-ef27-43ee-9955-dc29a50755e2,17
035c3e58-a209-40c7-b500-5f16be1ca051,11
038d9648-304a-4906-a93c-8333c912dba1,13
038e0a0c-bb0f-47e0-bffc-75bc77188b3b,6
039ef088-7aa9-4b1d-8280-93e5042a5b8e,24
03bb32e7-c099-4ac5-b947-fc1a74baae9d,2
03cddc25-4efb-4ac0-8a2b-25fd32f62ef7,21
03d9774b-762c-4a4b-a573-4cc9497c720e,4
03ec77c8-b45e-4774-9f00-dcec9c286e8c,15
03f0e282-e8c0-46e2-b54d-58f70a7d17c3,24
03f26608-3cbc-45b7-90be-d95059b4aeed,15
040b7f11-8540-4100-8695-62e974372654,16
04311c11-a2a6-43ea-b329-9aa86061cd5f,8
