user_id,asset_id,view,like,fav,share,comment,rate,buy,sell
27e7d81c-0f99-4fe2-b5f8-d2f13e5d08e3,05ce7055-968b-4438-970f-9c33633cf9c4,1,0,1,1,请问这个项目的预算是多少？,3.4,0,1
0a4bc148-2fee-4dde-9f0a-63b72c6f1182,49a359c4-5fea-47c1-b425-07418a1fa12c,1,0,0,0,产品细节展示很用心！,5,0,1
8ffe1d2f-13dc-478f-93c1-9bab26bc28ff,5f3506ff-f651-4378-afc6-6dd4880f8415,1,1,1,0,内容越来越优质了！,1,0,0
31f26d00-529a-4578-8ae0-6335042a6d28,96bf2f75-33f4-428d-a400-1ebcd5ae64da,1,0,1,0,期待后续更多优质素材！,1.2,0,1
b88768d1-4365-475e-ac2e-5a81236830cf,f05fd9e2-8311-464b-8f49-7c2be4b1b589,1,1,0,0,特别喜欢，支持！,5,0,1
ab778243-a4fa-408f-ab76-ee782804e21d,3ba02201-0fa6-46d9-b84e-1c555fda222b,1,1,1,0,,3,1,0
ae48f404-db43-43b1-be4a-a0434dfa2c97,da032bf6-4172-4eaf-a12e-f19104333c16,1,0,1,1,这个风光大片绝了！,3.1,0,0
bde20ada-de0c-4c0d-a8f2-f4a85205c41c,514ed3a8-34c6-449d-9266-a1058acf94b7,1,1,0,0,旅游素材天花板！,2.6,0,0
d7c3b20d-f283-4c15-9a82-f06dbaf0956d,f9d4a070-502a-4585-9d53-342e33613fde,1,0,1,0,,2.5,1,0
ebbe58dc-c303-4353-88ff-c7fae6407024,061bda19-f0ee-4274-86a8-07fc7c07e5be,1,1,1,0,这个延时摄影拍了多久？间隔几秒？,4.5,0,1
ff477c4b-2cb7-4556-8cfc-7aab73a0a112,a9513384-0953-4d0f-989c-d247cd4e6977,1,1,1,0,恨不得马上出发！,4.3,1,0
06f4a1a7-b4b2-4b12-b88b-0c8b6a500c4a,3ea16995-f13d-48c4-a6c3-54b23463985d,1,0,0,0,素材已商用，转化效果不错！,4,1,0
311db99a-91f6-4274-a9b9-68fc0dd4b9d7,9427b837-d1f6-444e-8e31-fea7d7522a98,1,0,0,0,过来学习一下！,1.4,0,0
61bc3818-71f9-4911-a0a5-04dfbb357a30,102b6232-ccf6-452e-9245-c59c252b3418,1,1,0,1,,2.8,1,0
0a6a7a9d-83eb-4141-81ee-e28fa3089291,96ce4870-56b5-4833-9f0f-4c8013d83705,1,0,0,1,铁粉来了！,3.5,0,0
737a37e6-817c-4c92-a17c-fc1f8e4b6459,c1613cda-e026-4ba2-afd6-779387dc5468,1,0,0,0,拍得真好！,3.1,1,0
4c3ec1e8-49fd-4508-a4b9-67e6e773607c,b11b9428-e6b7-4e5e-bfe8-9c6c36cc206b,1,1,1,0,品牌气质完美呈现！,3.2,0,1
bfecc65b-4c47-40af-8373-f33e479863e1,2d6e1ab5-f130-472e-9ba3-cb574ac012e2,1,0,0,0,这个转场太流畅了！,3.1,0,1
c5d3d9cb-4354-4432-a7e6-124e259cfb64,644ec9e5-bb5f-447d-91b0-1be4b6a7384a,1,0,1,1,这个镜头焦段是多少？,2.6,0,1
fe77713f-537a-40e2-b8c6-491ce302300b,07e2b0c8-c85b-47c0-a089-406c3479d3c3,1,0,0,1,,1.2,1,0
14423f3d-4577-43f3-a986-099942b22af2,59140f3a-4081-44f3-8309-961a273f0117,1,0,1,1,,3.4,0,1
1bd4a9da-5aac-455e-a702-11cddef51203,3856ac5e-8860-4fbe-aea5-5affc7c8cf36,1,0,0,0,这个配色太高级了！,3.9,1,0
ccb48190-eabb-4ae6-9954-d77dae79c165,7aba3f92-b016-4d49-bd4f-af8b1a784c7a,1,0,0,0,,3.7,1,0
978f93bd-e948-4af2-9df1-e3ef7ea0beea,230875f5-8864-44e9-9ac3-d0e7096cf62f,1,0,0,1,这个创意太好了！,1,1,0
9db46ead-2d9a-435e-90c4-369dd6e6690e,39b736d3-4d20-47c3-80b4-d991d17970c7,1,0,1,1,我们想采购这个素材！,4,1,0
4650aa9a-71db-40b5-b82b-bb1cbd8bfb49,2b37cac8-17f3-4969-bc58-fb9aa9451fd1,1,1,0,0,请问你们的付款条件是什么？,1,1,0
92407ef9-baed-43fc-a629-1dadc2ac95a4,f084e57b-f6bf-4e1c-8439-72b34f1d5cae,1,1,0,1,年度套餐价格是多少？,3.4,0,0
6314fde6-487f-45f2-ac79-9f4e8d5ddadf,39de65d5-60b8-4f5b-8ee8-e56b442a6114,1,0,1,1,已收货，超出预期！,2.9,0,1
bd0b79d8-6d95-4821-a31b-4acc8690beba,d0521af8-d5bc-4aad-b6de-e0477fc72e97,1,0,1,0,真香！,2.7,0,1
dd062ed5-7e8f-49d2-bd97-1051b3450cf2,6fdf6595-3a89-4ad3-a361-8790dbed806a,1,1,0,0,春节前后有空档吗？,1,0,1
3a6d74fe-e846-4d66-af9a-5d4dbd9efbab,d05c028a-7af2-4cb6-98d8-8ed1ed58fec0,1,1,1,1,这个片头是用什么模板做的？,4.2,0,1
3a6d74fe-e846-4d66-af9a-5d4dbd9efbab,d2d56eaa-cb59-45f3-8d2e-80421ae89db3,1,0,1,1,已使用素材，效果很棒！推荐！,5,1,0
9be7350e-f8b8-48c7-b3ca-9813eef18fd5,98a7c758-220a-4bef-87e6-26d9c7f1e038,1,1,1,0,果然是大神！,3.3,0,1
23554cef-cd10-4ab5-908d-ec943a427547,6db97cdd-90f3-45e7-bb8b-d8dbca71174a,1,0,0,0,夜景拍摄用的什么高感设备？,2.9,0,0
