user_id,prompt_id,view,comment,like,fav,share,rate,asset_id
352c361f-f5a6-4136-be3f-99f22cdc016d,6a462281e257b2c12e79accf,1,,0,1,1,3.5,58f7f522-6b98-494f-8c08-687b082fb111
8657cd67-3da0-43ae-99df-0f94b564bc36,6a4622813060c0063679a9df,1,素材里有一些微小的瑕疵，可以接受吗？价格可以优惠。,0,1,0,2.1,8cadcdbd-cb42-41fa-aeb5-9a2533f8012f
65ae7850-8290-4423-aa0e-6183b2923154,6a46228131123a5de879962a,1,价格可以商量，如果您觉得合适的话。,0,0,1,2.2,c3fb4a54-a085-41a1-867a-5c800911ecf7
37961ca4-5f66-4ad5-93fc-f7d087246275,6a462281d918bdc4be798c92,1,,0,1,1,4.1,e37845dc-fc90-49cc-a9d1-662ad3255132
912243b2-a9e3-4f19-a02a-b07b022e8f08,6a462281dc608f86e3798885,1,,0,1,0,3.9,64470fa3-d922-49a6-8196-e43c4e6c5a04
1f95d888-81cd-4765-9ebf-54d027c1be26,6a4622811f7c46ec5379aa63,1,独家授权和非独家授权您更倾向哪一种？,1,1,0,2.4,11c1ec6d-f94e-43ec-b0a3-7a495af311a0
8c84fe31-f6b1-4b31-99d6-bb4c4c11fc41,6a462281ee674edfc6798d52,1,借楼，请问需要几秒的版本？有具体时长要求吗？,1,1,1,2.4,6a4d5678-43cb-4621-8777-933590de85e5
5e2ed890-aa1e-475e-8471-64a35484fd84,6a462281b458898daf79b63f,1,时长大概要多少秒？7秒左右够吗？,0,1,0,3.7,
59ea74e9-94ed-4e00-bd6e-9e8b15e88459,6a462281cac1496538798af1,1,需要原片还是有剪辑过的？,0,1,1,1.9,79fbbc3a-cd9f-4050-b514-a1a33df32d3c
bb65444f-b463-4159-8850-103d70bd4db2,6a462281406595830779b5c3,1,素材的肖像权和物权授权都有吗？,1,1,1,4.1,f5f5e5c5-8f4a-485c-98f4-a1655ded906d
ca73b01e-e817-4215-af76-870e474c4d66,6a462281cf3b42a3aa79a837,1,请问独家授权的价格您能接受多少？,0,0,1,3,af3b2152-8e89-4a85-b49c-5c7aed8b0aec
215ecf45-3b42-46be-b10f-a6c204d81067,6a462281390b27db96799759,1,请问需要独家授权吗？还是非独家就可以？,1,0,1,3.8,b54de5ed-d754-4abe-bd3f-bc6df842d2af
37bd162b-f580-4f35-96cc-1330b4dbebff,6a4622819dfc736ba879979c,1,,0,0,1,2.9,
5ea8642f-0d80-475a-8f9b-33d6922f06f5,6a4622817fa20ed50e799b84,1,我有一段手指弹钢琴素材，无压缩，梦幻，符合你的要求，可以看看。,0,0,1,2.9,
2ad65054-a384-47c6-a956-17900ef7914a,6a462281de1641531479aa3f,1,请问需要什么分辨率的？高清还是RAW？,0,0,0,3,46df4401-980f-42b3-b5ea-8618326efe38
fce89613-62e7-40d7-8632-69aed5012552,6a462281ccc63e957b798e21,1,要不要先看样片？我发您一段预览。,0,0,1,3.7,
a57077ae-763b-4087-a27f-592f509d6b7e,6a4622814cfd5f601679b695,1,要4K还是1080P就够用了？,1,0,1,4.1,ec5ecd0f-53ff-44ac-8d0b-218fc647ef2e
719d2cfe-aa76-463e-9d35-e0efa3f0cc5f,6a4622817742936cea7998f1,1,我有瑜伽冥想镜头相关的素材，不过深情风格略有不同，不知道是否符合需求。,0,0,0,3.6,f38a063c-e3db-45d4-b139-d926bd07d399
a557d401-bb51-4947-9e44-ac8585016d06,6a4622815910f7d960799024,1,这个素材您打算花多少钱买？我们好报价。,1,1,1,2.7,97417a83-6609-4355-8e3e-540b631a9b51
c2ed8542-8dfd-47b5-8294-4116e835ca7d,6a462281061180bfd479950a,1,可以先看素材预览，满意再谈授权。,1,1,1,4.7,
3bf99847-8826-4c0c-a7c5-f18db5916b3f,6a462281e48472dee8799281,1,我用的佳能C70拍的瑜伽冥想镜头，画质有保障，可以看看效果。,1,1,0,3.1,8277f879-8498-48f0-9a50-6af575b7a62d
ada2aa49-bb1a-43d7-b288-0f0cfd55cb3e,6a462281b37bdaa12579a47d,1,之前给品牌拍过类似的，效果很好，可以看看。，求分享,0,0,1,1.6,
7e10a7ac-2112-4024-9d46-b956d596e5db,6a4622818c6c5cff28799982,1,,1,0,0,3.3,
44b2062e-d603-45bc-bcc4-f69252acf8d8,6a462281beeda808a07999a2,1,,0,0,0,3.3,134adf90-9aff-4827-8d48-e0e6b1c40237
771bc992-807c-4e81-843f-8492ee0a1cfb,6a462281460ca148c879b06b,1,这个素材您要得急吗？我手头有符合的。,0,1,0,3.5,ce4ae144-4cad-4d23-bd26-a2a888c4784f
fcaa47a1-16f2-496e-be37-f013089cba4e,6a4622819144483a4479ae22,1,预算灵活的话，我可以提供更好的素材。,0,1,1,2.6,
38cc18b1-1f46-46e7-a8a2-8dd13d9b9264,6a462281b2591c0e0b79a432,1,我有一段冬日雪中红梅素材，无压缩，复古，符合你的要求，可以看看。,0,1,1,1.9,dbf4dc2e-c8b5-44fa-97c6-6aa5de9a12e5
10003dc5-4a79-4584-8629-6e1f6e4d9fac,6a46228199193b2046799f78,1,,1,1,0,3.9,
f663818f-2175-4f6f-b22b-3c1139022f34,6a462281d463bd9951799697,1,可以先看样片，觉得OK再继续谈。,0,1,0,2.2,a63f45ff-c208-4c8b-a5bd-f261dd088141
da612d6c-a02e-40ff-ba44-b30740c0afe3,6a46228104f719bd2179a1ae,1,您的预算区间是多少？,1,1,1,3.3,
1396cb46-ae5b-4d89-83d6-e7d651c6de22,6a46228111919b313579a070,1,,1,1,1,3.8,
6a61dbdf-208a-47e4-ac8e-cbbe065ab374,6a4622818f60447f417990ee,1,,1,0,1,2.2,07469c8a-6a8b-46db-8aca-174097821878
f849adcf-4743-4f16-a12f-8b63298a5112,6a462281c95696e83479ae8d,1,素材商用的话，版权怎么算？,1,1,0,1.8,7e56a889-ceee-4738-9905-ef840337adc2
d11bde22-5ac7-4432-8133-09f977f23feb,6a462281e24be9bd687988b8,1,我推荐类似瀑布彩虹景观的素材，风格相近，您要看看吗？,1,0,0,3.5,222784ef-6101-4051-9248-4ce694d29fbf
b7d8c0b6-3d2b-4a19-a6ba-9a7967e14cda,6a462281a2b6ee1c8879b227,1,我有一段京剧脸谱特写的素材，不过升格不同，你看看能用吗？,1,0,1,1.8,
371f96dd-50cb-4fa2-9ac0-eaaaccfc449e,6a4622811b309570d679b35a,1,请问独家授权的话预算会更高吗？,0,1,0,2.8,ac21220d-8f9d-4fde-8a77-133189fce65d
2e4341ac-56f3-47b6-a029-77d517880fbb,6a462281ab3b59e6c579b555,1,,1,0,0,2.9,e6b77daa-5966-4771-83ca-a0812835864b
6341356f-4f24-4f80-816d-46c4b001e974,6a46228111e269b32e79a309,1,我可以去拍猫伸懒腰特写，请问对广角有具体要求吗？,0,1,1,1.5,7cbb1556-3d33-4104-b315-020adf901c64
e6e55255-88c3-4620-b093-fbc7e5d30c72,6a4622812077dc8785798cbe,1,手头有皮影戏表演的视频，但4K，如果可以的话可以发样片。,0,1,1,4.5,019cd705-b80b-4c1e-acdc-815f923d0ed6
fd089a62-a4b5-4f69-aaed-6816da0d309f,6a462281edac8ab0ed7989b9,1,要不要先发样片确认一下风格是否匹配？,1,0,0,2.6,
43968771-3cfc-4546-9d6a-59dfbc5bd1d4,6a4622815481b3d9d0798872,1,,0,1,1,2.1,a2bec58c-09e5-4652-8f30-a8bb4f12ddc0
f826fe01-9004-44ff-8c80-b8c5322240f5,6a462281812ca0069379a95e,1,手上刚好有樱花飘落慢动作的视频，10bit，梦幻风格，需要的话发样片。,1,1,0,3.7,7b8d9f67-3ea8-4a99-8a25-9afc3e4539b9
