user_id_A,user_id_B,follow,message
27a2598f-0072-465b-9669-8aa045723983,5a33a12d-02bd-49bf-a255-2b099a3cfa15,0,您好，您发来的样片我看过了，色调需要调整一下。
ef56e1ef-7dc4-4230-ad14-804562b6bd58,49ae5d29-2818-4dbc-a941-74ce9b91898c,0,你好，你的作品获奖了吧？恭喜恭喜。祝拍片顺利
6a704d17-e0ed-401a-9135-1029d15bfdb5,2ddd02e3-99e1-4e7a-9001-2740d08e2c88,1,
bececc56-64de-4e90-92d8-836e19c0cb0a,2a887fc8-f160-4037-a925-01984b1aec2b,0,你好，关于项目，我建议我们见面详细沟通一下。
608482f0-5821-4459-8dbc-70f9f3b96fa2,3c8def23-f45e-49d8-bf6c-9bf4569040ff,1,你好，素材已上传网盘，永久有效，请及时下载保存。感谢支持
32426838-1c0e-4541-bc31-86f0826dbb64,23483355-9487-4054-8b8d-5bef0c012546,0,你好，看到您在平台上发布的美食视频，非常喜欢！能分享一下拍摄经验吗？
b866f107-10ba-441b-8e06-b43346a84ab4,761cc89e-e68a-404e-9267-924b517c4f27,1,你好，看了您的作品，想请问那个转场是用什么软件做的？
c27df95e-9aaa-4901-ab60-e2070be7def0,a987eea0-2fe8-4c7f-a8f8-44f93dbe641a,0,
7a273c3c-dffc-415c-8f7f-e026c3f63062,5224c112-a78a-4a30-a078-d54e4f9bcf65,1,
8f58525e-07cf-472a-acc7-16e7921a0288,56144ea5-b834-4281-8ae1-168876d2a2a5,0,您好，您做视频多久了？想咨询一下设备选择方面的专业建议。
d4a2b04a-45c4-4399-836c-6ab57519b77e,090a2b1a-c367-4e14-9340-e6fcfdf3db8e,1,你好，想跟您探讨一下短视频的商业模式，有没有兴趣长期合作？
8c560a47-e49f-4b4d-8f6a-d9625201ccec,cc281ee0-0090-420a-a4a1-974d09aafd98,0,
e757ae26-433e-4c9d-a7f7-2d05e730c1cf,804c024a-8c6d-4873-bec9-c712d8d52194,0,你好，想请教一下那个黄昏场景的调色思路，您的色彩太高级了。
5b7998ce-2615-4874-b9bc-230534e076a4,e4fca32c-e3bd-4458-8248-8db901640793,0,你好，我们公司正在寻找视频拍摄的合作伙伴，看了您的作品很认可，想聊聊合作。保持联系
581b69f8-7480-44a7-93be-a1806a6a2924,f8b4f9a0-3e66-4d68-b22d-67101d834e61,0,您好，请问您的视频中那个转场效果是怎么实现的？我看了之后非常喜欢，想跟您请教一下具体做法。
40dc0889-29f8-4c9c-ac36-7927f9173cc4,e770d0ee-f061-470b-8378-0dee4ab65c85,0,你好，我在策划一个纪录片项目，看了您的作品后很受启发，想聊聊拍摄方案。
dee8e364-b48e-41f4-88a1-fda206d931b3,0bea5dfc-34dc-4ec4-8d54-887a9c57b20c,0,您好，关于拍摄的细节，我建议用自然光拍摄，您觉得呢。感谢支持
15e1b6c0-7221-41d1-b11e-3b9b893aa995,9f8d5c7b-3f85-4015-b8d2-4c2fa74f9d18,1,你好，想问下那个外景是在哪里拍的？方便推荐一下地点吗。期待合作
1374dde5-5ff2-45e8-a7e1-c47fa696668e,5b382103-41c8-448b-9fc6-d8a972aa8d15,1,您好，您的旅拍视频拍得太棒了！想请问一下那个航拍镜头是用什么设备拍的？
4fcf86cc-db44-4ae9-b22e-5e79b041fc48,241d4f27-fbab-4447-845b-33a0b138b806,0,您好，请问您的视频中那个转场效果是怎么实现的？我看了之后非常喜欢，想跟您请教一下具体做法。
8cf7ffc9-87f8-4c9d-94d1-5ace80430b7a,988d6031-8049-4014-9cfd-6056a92fb2d7,1,您好，上次聊的拍摄方案，您考虑得怎么样了？我这边挺着急的。
61f611ba-b32b-4200-9869-7cddf97e688b,b5f8a857-69cb-44f2-a3a7-5fabf3959fab,0,哈喽，感谢您的信任！关于报价，我的建议是走套餐更划算，您考虑一下。
c50612a5-ad5e-4e54-8d20-c8b4f343fc84,7fe03f5c-1bcd-4972-bcb2-d57df9699632,0,您好，您在美食拍摄领域的影响力很强，我们想谈一下深度合作。??
557a641d-0c62-4264-a9e2-cfde52c8e8ac,66464980-4bf7-4016-bfdc-7a6e971875cb,1,你好，请问修改次数有限制吗？超出怎么收费？
7e538e4e-d4a7-4c75-af84-1c6c125116ec,6bd06a20-e967-476f-84c6-671bcc91f32a,1,您好，您的旅拍视频拍得太棒了！想请问一下那个航拍镜头是用什么设备拍的？
7e068eca-69e5-4250-a845-04eb40ccf307,b4bb98ec-0176-4e16-aa58-4bbb38eaeeea,0,你好，您的作品中光影的处理方式很独特，想学习一下您的拍摄思路。
e18971af-0147-488d-b91c-a44c59d8d9a4,39c73244-4930-4e0b-a8ca-d2399f2cbcee,1,您好，您做的案例很棒，我想照这个标准做，费用大概多少？
ff477c4b-2cb7-4556-8cfc-7aab73a0a112,ca008d17-5719-41f0-89eb-19d86940145b,0,你好，您的报价是含税价吗？发票能开吗？
d590b3e7-2c95-47f6-a507-13641d296640,6292270d-b41d-4ca6-be8a-e00404206861,1,你好，之前跟您沟通过合作意向，不知道您还记得吗？想再确认一下。辛苦
e74f02e5-7173-414c-a085-63263baaecb2,b921548e-2ad6-48ac-ad16-81a16c82548d,0,您好，关于后期的剪辑，我想问一下调色思路，您能指点一下吗？
19bedee7-4663-422f-95bb-08aba4596a36,d3880507-4515-4df8-a38a-85f0189a6e62,0,你好，我想做一期类似的探店视频，能否请教一下你的拍摄技巧？
15c02386-090e-40a8-b930-4e5d2b4188dd,be24f3a3-17da-4e33-85af-0451d8f689f8,1,
39c73244-4930-4e0b-a8ca-d2399f2cbcee,66f1c4df-4868-4b9d-a089-b5641f4d327b,0,您好，请问您拍摄活动一天的费用是多少？设备您自带吗？
2d2ee1b4-e4b2-4ebc-aa88-71be95d5c830,521e3782-2452-42ac-893e-fad63d204ad8,0,
7a029518-ff5c-4c2d-b064-759e680b4ce3,e5df35ed-1b3a-4dc6-b180-0490a0b7edcc,1,你好，请问您接商业广告的单吗？我的预算是三万，您看能合作吗。感谢支持??
ab797b32-7e44-4719-bc44-1557fb1ac1f5,01e57d35-fc19-4732-ad1a-51aeab8d1ad0,0,
c741c680-a315-48be-9426-f656b1412e62,84da861e-e288-4a82-9da7-fa7a64a04b22,1,
9d120af0-157f-43ca-ae57-31a17aac057f,88bc373e-7b1a-48a9-93b7-74bf47a2f0f0,1,您好，收到您的消息了。关于拍摄方案，我的意见是可以按这个方向走。祝顺利
12027bce-85c3-49cc-8eb5-eb48fda1210e,528f2582-2883-430a-8a2c-4b89916b251c,1,你好，我这边有个汽车品牌合作机会，想听听您的想法。
5f214f9e-9d84-422a-b63d-ef3ab38a9061,90eaf227-d201-4ed8-8584-72e24427c72b,1,您好，想约您拍婚礼，加急的话一周能出片吗？费用怎么算？
60092ef9-33f1-45c0-857c-7cdf90b69be3,8f5d7963-4d12-47d8-8d37-e1f199050f6e,0,你好，打扰了，想问一下视频的进展，大概什么时候能好？
b603fdcb-156e-4b37-99b5-a27b66def02c,5f2a4d8e-ba37-4dc1-a854-34364599ec05,0,
