video_id_orig,video_id_int
50e3e124-8741-4d4f-aaf8-38f913a1634e,0
cd4cc313-ac61-4939-84c2-6e27b68aeeb1,1
f2e75d37-29ad-4766-9977-a491802e7edb,2
65466be4-0c3a-489b-9692-8248b761dc9a,3
0670f212-3a89-46dd-9b5b-152e22043ace,4
bad97c30-3ed4-4d8e-8823-8f63e0bf042f,5
f0c48899-af06-4bc0-bc7a-cfb75852124b,6
ee9f905d-2f16-4ae7-a1f4-636d9ba56983,7
ffb71772-52b5-471b-954c-11b5fe34e5c3,8
80892490-46d9-4161-b8d2-35afde4a1a22,9
91ece766-e06f-406d-9a6b-d717e4833827,10
1815af7e-c250-4007-9203-34891bcbe51d,11
24e937f7-c8f5-477f-92ca-acf8aa3d415b,12
be78aaeb-ff7f-4eb6-ab36-c546a6f6f416,13
94d04b27-7f3f-4168-adf7-ba0d5ee3fb1d,14
cf368efa-5dc2-44fa-96c6-ef90fd20f532,15
db5e70be-dfd2-476f-8726-1c47be84da24,16
7b361d7a-7945-4964-86db-fdad254182cf,17
25adef48-422a-42fe-b34a-642e784148a4,18
fd4f03b9-bfa4-48a0-8afb-949903837e7e,19
c38ee507-0b5e-450c-b394-c4233fa10d19,20
f27b1cf1-e1e7-4e97-bb5a-4b25b9547589,21
33beba23-2559-4732-8cfc-e6126e5110a6,22
27fd3d5b-3034-4f34-b22e-05ebf8bf7f4d,23
54a3d50f-492d-4117-96a0-beeb76d41180,24
00220f83-a49b-4281-a0bf-6efd426fff20,25
c2d5b5ce-ab8c-4989-9ed6-13009793d8bd,26
18091172-074c-4260-84b5-81b0cf597979,27
f8caf7b7-f808-4ec1-a737-d11a751b187a,28
af1ee5df-06cd-41e9-b893-b1cd646b4f73,29
be5a57c6-3f2e-4001-9edd-8b79d508f481,30
70a4498f-1e50-49ec-b0e4-73b1a27170d3,31
53a11f62-8d3d-4219-b614-cc061fdfa746,32
b1fac4eb-46b4-4753-a482-bd820208c718,33
04e3764c-e654-45ce-92ff-117d25350448,34
8eed186b-2d9a-4d1d-83c9-f65d09cedc87,35
1bb378f9-58a3-4665-b086-1879f0a26df2,36
0c5ed699-8f26-4efc-9505-91797f497786,37
925bef28-059c-4742-a0a8-866d247f7e66,38
3ef22db5-9538-45ee-896b-a6f5e57bfb68,39
7a681871-266d-44dd-82a1-8be1a88b2682,40
808abeb6-f44d-4902-be02-a5ec4f64ebd2,41
ed4674f0-e9cb-463d-8c2d-3ed069636b6d,42
19eb3156-51f6-47de-aa1f-cf68452668a8,43
39c88ed1-ef1c-4346-bf42-12b46f7ab067,44
008945bd-c726-4b09-8a5b-74ce76e35d92,45
50874b2e-774f-4360-ab25-2f77c268fa77,46
cdd0550c-706e-4776-83c6-936e7e8bb96c,47
96377c81-43cf-4e37-bc7b-59f29668905e,48
214a449a-afa3-4e5f-a756-240bf2e06bfb,49
990696de-4a52-4244-b8e5-e6185f755682,50
ba9a7113-d410-4c20-ade5-ba341df66675,51
02cb7c89-3555-40f0-8c5b-91dc294774c3,52
4f79e347-44e3-46d4-a580-85c906bf54de,53
c3993ef8-8151-495d-b256-aec6cbcb7958,54
b2139ad3-8173-4ad8-883e-ea1f1d9a1cdd,55
b39db136-d97e-44dd-91cf-5d591735701e,56
41011d33-c00c-4316-9152-ee5275cfe05c,57
74d3b947-9e93-49ef-b44e-dee1e9fa7efd,58
43140491-1ce6-4163-91c2-f77028f8fc83,59
6cb55c3e-4227-4b0a-b1e0-88a83a14ea41,60
f8cd4f49-533f-4136-81ec-00d8cc02044e,61
87c69cd2-59b9-4377-b779-a494db4fc0d9,62
ad5ab14c-eb9f-4d2f-9db4-61eb7251afb8,63
ee3873e2-eac0-4423-bab2-662c3f544c64,64
